EXEMPLAR - COD.;titulo;autor;volume;EDIÇÃO;ANO;editora;COLEÇÃO;SÉRIE;ISBN;Nº EXEMPLAR;ASSUNTO;CLASSIFICAÇÃO;IDIOMA;OBSERVAÇÃO DO EXEMPLAR;;;;;;;;;;;;;;;;;;
E-100113;Avivamento para a igreja: o papel do Espírito Santo e da oração na renovação da igreja;Franklin Ferreira;;;2015;Vida Nova;;;9,78853E+12;1;"pneumatologia; eclesiologia; meios de graça; oração";I-F383;;;;;;;;;;;;;;;;;;;;
E-100114;História da igreja cristã;Jesse Lyman Hurlbut;;;2007;Vida;;;9,78857E+12;1;"história da igreja; cristianismo";HI-H965;;;;;;;;;;;;;;;;;;;;
E-100115;O pentecostes e o crescimento da igreja: a extraordinária ação do Espírito Santo em Atos 2;Augustus Nicodemus;;;2017;Vida Nova;;;9,78853E+12;1;"pentecostes; missões; igreja primitiva";MEI-N633;;;;;;;;;;;;;;;;;;;;
E-100116;O totem da paz;Don Richardson;;;1978;Betânia;;;;1;"missões transculturais; experiência missionária";MEI-R521;;;;;;;;;;;;;;;;;;;;
E-100117;Vocacionados;Ronaldo Lidório;;;2014;Betânia;;;9,78854E+11;1;"missões; vocação; evangelismo";MEI-L715;;;;;;;;;;;;;;;;;;;;
E-100118;Catolicidade Reformada: a promessa de recuperação para a teologia e interpretação bíblica;"Michael Allen; Scott R. Swain";;;2021;Monergismo;;;9,78659E+12;1;?;TSEc-A425;;;;;;;;;;;;;;;;;;;;
E-100119;Evangelização: como criar uma cultura contagiante de evangelismo na igreja local;J. Mack Stiles;;;2015;Vida Nova;;9 Marcas: Construindo igrejas saudáveis;9,78853E+12;1;"evangelização; igreja local";I-S856;;;;;;;;;;;;;;;;;;;;
E-100120;Cumprindo a missão: levando o evangelho aos não alcançados e aos não engajados;"John Piper; David Mathis (org.)";;;2015;CPAD;;;9,78853E+12;1;"missões; evangelismo";MEI-C971;;;;;;;;;;;;;;;;;;;;
E-100121;Sola Scriptura: a doutrina reformada das Escrituras;Paulo Roberto Batista Anglada;;2.ed. 2013;2016 (reimpr.);Knox Publicações;;;9,78856E+12;1;"teologia sistemática; bibliologia; bíblia; escrituras sagradas";TSB-A589;;;;;;;;;;;;;;;;;;;;
E-100122;Missões do jeito que Deus quer;Mônica de Mesquita;;;2014;Cultura cristã;;;9,78858E+11;1;"missões; evangelização; cuidado missionário";MEI-M582;;;;;;;;;;;;;;;;;;;;
E-100123;Revitalização de igrejas: avaliando a vitalidade de igrejas locais ;Ronaldo Lidório;;;2016;Vida nova;;;9,78853E+12;1;"igreja local; eclesiologia";TSEc-L715;;;;;;;;;;;;;;;;;;;;
E-100124;Adoração reformada ;Terry L. Johnson;;2.ed;2018;Monergismo;;;9,78856E+12;1;"adoração; igreja; adoração congregacional; eclesiologia";TSEc-J66;;;;;;;;;;;;;;;;;;;;
E-100125;A igreja e a surpreendente ofensa do amor de Deus: reintroduzindo as doutrinas sobre a membresia e a disciplina da igreja;Jonathan Leeman;;;2013;Fiel;;;9,78858E+12;1;"disciplina eclesiástica; membresia; igreja; eclesiologia";TSEc-L485;;;;;;;;;;;;;;;;;;;;
E-100126;As 95 teses e a essência da igreja;Martinho Lutero;;1.ed 2016;2017;Vida;;;9,78854E+12;1;"igreja; história da igreja; reforma protestante; ";I-L973;;;;;;;;;;;;;;;;;;;;
E-100127;O evangelho e a evangelização;Mark Dever;;;2011;Fiel;;;9,7886E+12;1;"evangelismo; prática evangelística";MEI-D491;;;;;;;;;;;;;;;;;;;;
E-100128;A igreja local e missões;Edison Queiroz;;5.ed;1998;Vida Nova;;;8527500159;1;"missões; evangelismo; igreja local";MEI-Q3;;;;;;;;;;;;;;;;;;;;
E-100129;Missões: o desafio continua;Ronaldo Lidório;;;2003;Betânia;;;8535800832;1;"missões; evangelismo; ";MEI-L715;;;;;;;;;;;;;;;;;;;;
E-100130;Evangelização e missões;John Piper;;;2011;Fiel;;;9,78858E+12;1;"missões; evangelismo; ";MEI-P665;;;;;;;;;;;;;;;;;;;;
E-100131;Evangelismo: como compartilhar o evangelho com fidelidade;John MacArthur;;;2012;Fiel;;;9,78858E+12;1;"evangelismo; grande comissão; igreja";MEI-M116;;;;;;;;;;;;;;;;;;;;
E-100132;Marcas de um evangelista: conhecendo, amando e falando do evangelho;Mack Stiles;;;2015;Fiel;;;9,78858E+12;1;evangelismo;MEI-S856;;;;;;;;;;;;;;;;;;;;
E-100133;Vocação missionária: chamado específico e a necessidade dos povos não alcançados;"Bruno Costa; Loide de Melo Silva";;;2019;Palavra;;;9,78857E+12;1;"missões transculturais; ";MEI-C837;;;;;;;;;;;;;;;;;;;;
E-100134;Chamado, choque e carisma: considerações missiológicas para o século XXI;Jarbas Ferreira da Silva;;;2008;Descoberta;;;9,78859E+12;1;"missões; missiologia";MEI-S586;;;;;;;;;;;;;;;;;;;;
E-100135;Comunicação e cultura: a antropologia aplicada ao desenvolvimento de ideias e ações missionárias no contexto transcultural;Ronaldo Lidório;;;2014;Vida Nova;;;9,78853E+12;1;"missões transculturais; antropologia missionária;";MEI-L715;;;;;;;;;;;;;;;;;;;;
E-100136;Sal e luz: compreendendo, vivendo e praticando a missão;Ronaldo Lidório;;;2014;Betânia;;;9,78854E+12;1;"missões; evangelismo; ";MEI-L715;;;;;;;;;;;;;;;;;;;;
E-100137;Deuses falsos;Timothy Keller;;;2018;Vida Nova;;;9,78583E+12;1;"idolatria; vida cristã";VCE-K29;;;;;;;;;;;;;;;;;;;;
E-100138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E-100139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E-100140;Cativo à palavra;Roland H. Baiton;;;;;;;;;;Ho;;;;;;;;;;;;;;;;;;;;
E-100141;Um chamado à reforma espiritual;D. A. Carson;;;;;;;;;;VCE-C321;;;;;;;;;;;;;;;;;;;;
E-100142;Contra a idolatria do Estado: o papel do cristão na política;Franklin Ferreira;;;2016;Vida Nova;;;9,78853E+12;1;;A-F383;;;;;;;;;;;;;;;;;;;;
E-100143;O aconselhamento bíblico depois de Jay Adams;Heath Lambert;;;;;;;;;;AB-L222;;;;;;;;;;;;;;;;;;;;
E-100144;Intensamente: um manual para a vida intelectual cristã;Valberth Veras;;;2019;Peregrino;;;9,78655E+12;1;"Intelectualidade cristã; racionalidade teológica";VCE-V476;;;;;;;;;;;;;;;;;;;;
E-100145;Capital moral: o poder de conexão da sociedade;Dr. Roel Kuiper;;;2019;Monergismo;;;9,7886E+12;1;"Filosofia cristã; filosofia social; ética social";FC-K96;;;;;;;;;;;;;;;;;;;;
E-100146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E-100147;Por que creio em Deus;Cornelius Van Til;;;2012;Monergismo;;;9,78856E+12;1;;A-T569;;;;;;;;;;;;;;;;;;;;
E-100148;Por que creio em Deus;Cornelius Van Til;;;2012;Monergismo;;;9,78856E+12;2;;A-T569;;;;;;;;;;;;;;;;;;;;
E-100149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E-100150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E-100151;O discípulo radical;John Stott;;;2011;Ultimato;;;9,78858E+12;1;;VCE-S888;;;;;;;;;;;;;;;;;;;;
E-100152;O discípulo radical;John Stott;;;2011;Ultimato;;;9,78858E+12;2;;VCE-S888;;;;;;;;;;;;;;;;;;;;
E-100153;O que pode dar esperança: a luta pela sobrevivência e por uma vida com propósitos;Valter Junior;;;2015;Palavra;;;9,78856E+12;1;;AB-J95;;;;;;;;;;;;;;;;;;;;
E-100154;O que pode dar esperança: a luta pela sobrevivência e por uma vida com propósitos;Valter Junior;;;2015;Palavra;;;9,78856E+12;2;;AB-J95;;;;;;;;;;;;;;;;;;;;
E-100155;Caridade e seus frutos;Jonathan Edwards;;;2015;Fiel;;;9,78858E+12;1;"sermões; estudo bíblico";EB-E26;;;;;;;;;;;;;;;;;;;;
E-100156;A fé que agrada a Deus: mais que um mero acreditar;Sillas Campos;;;2015;Fiel;;;9,78851E+11;1;;AB-C198;;;;;;;;;;;;;;;;;;;;
E-100157;Autoestima: uma perspectiva bíblica;Jay E. Adams;;;2916 (reimpr.);ABCB;;;9,78856E+12;1;;AB-A211;;;;;;;;;;;;;;;;;;;;
E-100158;O pastor e o aconselhamento: um guia básico para pastoreio de membros em necessidade;"Jeremy Pierre; Deepak Reju";;;2015;Fiel;;;9,78858E+12;1;;AB-P622;;;;;;;;;;;;;;;;;;;;
E-100159;Lado a lado:como amar aqueles que estão sofrendo;David Furman;;;2017;Fiel;;;9,78858E+12;1;"aconselhamento; vida cristã";AB:VC-F986;;;;;;;;;;;;;;;;;;;;
E-100160;Como estudar a bíblia;John MacArthur;;;2016;Thomas Nelson Brasil;;;9,78858E+12;1;;VCE-M116;;;;;;;;;;;;;;;;;;;;
E-100161;Visão Federal;Alan Rennê;;;2017 (reimpr.);Os Puritanos;;;9,78856E+12;1;;VCF-R414;;;;;;;;;;;;;;;;;;;;
E-100162;Entendes o que lês;"Gordon D. Free; Douglas Stuart";;3. ed;2011;Vida Nova;;;9,78853E+11;1;;TBH-F853;;;;;;;;;;;;;;;;;;;;
E-100163;Socorro não tenho tempo;"Carolyn Mahaney; Nicole Whitacre; Kristin Chesemore; Janelle Bradshaw";;;2012;Monergismo;;;9,78856E+12;1;"Vida cristã; gestão do tempo; organização";VC-S678;;;;;;;;;;;;;;;;;;;;
E-100164;Socorro não tenho tempo;"Carolyn Mahaney; Nicole Whitacre; Kristin Chesemore; Janelle Bradshaw";;;2012;Monergismo;;;9,78856E+12;2;"Vida cristã; gestão do tempo; organização";VC-S678;;;;;;;;;;;;;;;;;;;;
E-100165;Deus é o evangelho;John Piper;;;2011 (reimpr.);Fiel;;;9,7886E+12;1;;VC-P665;;;;;;;;;;;;;;;;;;;;
E-100166;Uma introdução à espiritualidade cristã;Alister E. McGrath;;;2008;Vida;;;9,78854E+12;1;;VCE-M478;;;;;;;;;;;;;;;;;;;;
E-100167;Senhor, transforma minha atitude antes que seja tarde demais;James MacDonald;;;2015;Vida Nova;;;9,78853E+12;1;;AB-M135;;;;;;;;;;;;;;;;;;;;
E-100168;Brecha em nossa santidade;Kevin DeYoung;;;2013;Fiel;;;9,78858E+12;1;;AB-D529;;;;;;;;;;;;;;;;;;;;
E-100169;Lutando contra a incredulidade;John Piper;;;2014;Fiel;;;9,78858E+12;1;;AB-P665;;;;;;;;;;;;;;;;;;;;
E-100170;Fundamentos da teologia reformada;Hermisten Maia Pereira da Costa;;;2007;Mundo Cristão;;;9,78857E+12;1;;TS-C837;;;;;;;;;;;;;;;;;;;;
E-100171;Fé reformada;Sean Michael Lucas (et.al);vol.1;;2015;Cultura Cristã;;Fé reformada;9,78858E+12;1;;TS-F288;;;;;;;;;;;;;;;;;;;;
E-100172;Palavra que anima o coração;Rosther Guimarães Lopes;;;2012;sem editora;;;9,78854E+12;1;;AB-L864;;;;;;;;;;;;;;;;;;;;
E-100173;Pensamentos transformados, emoções redimidas;Ricardo Barbosa de Sousa;;;2016;Ultimato;;;9,78858E+12;1;"vida cristã; espiritualidade; aconselamento";VCE-S725;;;;;;;;;;;;;;;;;;;;
E-100174;A caminhada cristã na história: a bíblia, a igreja e a sociedade ontem e hoje;Alderi Souza de Matos;;;2005;Ultimato;;;8576539848;1;história da igreja;HI-M433;;;;;;;;;;;;;;;;;;;;
E-100175;Ministério de mulheres: amando e servindo a igreja por meio da palavra;Gloria Furman e Kathleen Nielson;;;2016;Fiel;;;9,78858E+12;1;;VCE-F986;;;;;;;;;;;;;;;;;;;;
E-100176;A reforma protestante: história, teologia e desafios;Ricardo Bitun (org.);;;2017;Hagnos;;;9,78858E+12;1;;IH-R332;;;;;;;;;;;;;;;;;;;;
E-100177;Calvinismo: as antigas doutrinas da graça;Paulo Anglada;;;2015;Knox publicações;;;9,78856E+12;1;;TS-A589;;;;;;;;;;;;;;;;;;;;
E-100178;Cristianimos puro e simples;C.S. Lewis;;3. ed.;2009;WMF Martins Fontes;;;9,78858E+12;1;;TS/A-L673;;;;;;;;;;;;;;;;;;;;
E-100179;Religião vida mansa: a teologia do prazer e o desafio para o crente num mundo materialista;J.I. Packer;;;1999;Cultura Cristã;;;;1;;VC-P119;;;;;;;;;;;;;;;;;;;;
E-100180;A certeza da fé;Herman Bavinck;;;2018;Monergismo;;;9,78857E+12;1;;AB-B354;;;;;;;;;;;;;;;;;;;;
E-100181;O ministério do pastor: prioridades bíblicas para pastores fiéis;Brian Croft;;;2020;Fiel;;;9,78866E+13;1;;L-C941;;;;;;;;;;;;;;;;;;;;
E-100182;A família do pastor: pastoreando sua família em meio aos desafios do ministério pastoral;"Brian Croft; Cara Croft";;;2021;Fiel;;;9,78656E+12;1;;VCF-C941;;;;;;;;;;;;;;;;;;;;
E-100183;Devocional para casais: reflexões para uma vida a dois;"Jaime Kemp; Judith Kemp";;;2002;Hagnos;;;8589320022;1;;VCF-K32;;;;;;;;;;;;;;;;;;;;
E-100184;O Deus do sexo: como a espiritualidade define a sua sexualidade;Peter Jones;;;2007;Cultura Cristã;;;8576221810;1;;AB-J76;;;;;;;;;;;;;;;;;;;;
E-100185;A grande comissão: o resgate da estratégia divina para o discipulado;Michael Horton;;;2014;Cultura Cristã;;;9,78858E+12;1;;MEI-H823;;;;;;;;;;;;;;;;;;;;
E-100186;O que você precisa saber sobre a batalha espiritual;Augustus Nicodemus;;5. ed.;2012;Cultura Cristã;;;9,78858E+12;1;;A-N633;;;;;;;;;;;;;;;;;;;;
E-100187;O que você precisa saber sobre a batalha espiritual;Augustus Nicodemus;;4. ed.;2006;Cultura Cristã;;;8576221586;2;;A-N633;;;;;;;;;;;;;;;;;;;;
E-100188;Resgatando a ambição;Dave Harvey;;;2012;Fiel;;;9,78858E+12;1;;VCE-H341;;;;;;;;;;;;;;;;;;;;
E-100189;Ouro tolo?: discernindo a verdade em uma época de erro;John MacArthur;;;2009 (reimpr.);Fiel;;;9,7886E+12;1;;VCE-M116;;;;;;;;;;;;;;;;;;;;
E-100190;Vencendo o mundo;Joel Beeke;;;2008;Fiel;;;9,7886E+12;1;;AB-B414;;;;;;;;;;;;;;;;;;;;
E-100191;Plares da fé: a atualidade da mensagem da reforma;Franklin Ferreira;;;2017;Vida Nova;;;9,78853E+12;1;;TS-F383;;;;;;;;;;;;;;;;;;;;
E-100192;Deus é soberano;A. W. Pink;;2. ed.;2015;Fiel;;;9,7886E+12;1;;TST-P655;;;;;;;;;;;;;;;;;;;;
E-100193;Deus falsos: as promessas vazias do dinheiro, sexo e poder, e a única esperança que realmente importa;Timothy Keller;;;2018;Vida Nova;;;9,78853E+12;1;;AB-K29;;;;;;;;;;;;;;;;;;;;
E-100194;Dialektos: métodos de aquisião e avaliação linguística ;Ronaldo Lidório;;;2008;;;;9,78858E+12;1;;MEI-L715;;;;;;;;;;;;;;;;;;;;
E-100195;Igreja: uma comunidade visionária;Ronaldo Lidório;;;;;;;;1;;MEI-L715;;;;;;;;;;;;;;;;;;;;
E-100196;Entendendo a disciplina na igreja;Jonathan Leeman;;;2019;Fiel;Entendendo a Igreja;;9,78858E+12;1;;TSEc-L485;;;;;;;;;;;;;;;;;;;;
E-100197;Entendendo a ceia do Senhor;Bobby Jamieson;;;2019;Fiel;Entendendo a Igreja;;9,78858E+12;1;;TSEc-J32;;;;;;;;;;;;;;;;;;;;
E-100198;Entendendo a autoridade da congregação;Jonathan Leeman;;;2019;Fiel;Entendendo a Igreja;;9,78858E+12;1;;TSEc-L485;;;;;;;;;;;;;;;;;;;;
E-100199;Entendendo o batismo;Bobby Jamieson;;;2019;Fiel;Entendendo a Igreja;;9,78858E+12;1;;TSEc-J32;;;;;;;;;;;;;;;;;;;;
E-100200;Entendendo a grande comissão;Mark Dever;;;2019;Fiel;Entendendo a Igreja;;9,78858E+12;1;;MEI-D491;;;;;;;;;;;;;;;;;;;;
E-100201;Entendendo a liderança da igreja;Mark Dever;;;2019;Fiel;Entendendo a Igreja;;9,75858E+12;1;;L-D491;;;;;;;;;;;;;;;;;;;;
E-100202;Inverso: diálogos indígenas  no alto do rio negro;Marcelo Carvalho;;;2011;;;;9,78859E+12;1;;MEI-C331;;;;;;;;;;;;;;;;;;;;
E-100203;Antropologia missionária;Ronaldo Lidório;;;2008;;;;9,78858E+12;1;"Missões; antropologia; intercultura";MEI-L715;;;;;;;;;;;;;;;;;;;;
E-100204;Introdução à antropologia missionária;Ronaldo Lidório;;;2011;Vida Nova;;;9,78853E+12;1;;MEI-L715;;;;;;;;;;;;;;;;;;;;
E-100205;Fundamentos da teologia prática;Julia Zabatiero;;;2006;Mundo Crista;;;8573254173;1;;VCE-Z12;;;;;;;;;;;;;;;;;;;;
E-100206;Abaixo a ansiedade: recursos bíblicos para vencermos um inimigo comum;John MacArthur;;2. ed.;2013;Cultura Cristã;;;9,78858E+12;1;;AB-M116;;;;;;;;;;;;;;;;;;;;
E-100207;Gotas de amor para a alma;Hernandes Dias Lopes;;;2015;Hagnos;;;9,78852E+12;1;;AB-L864;;;;;;;;;;;;;;;;;;;;
E-100208;Calvino, Genebra e a propagação da reforme na França so século XVI;Jean-Marc Berthoud;;;2017;Monergismo;;;9,78857E+12;1;;IH-B542;;;;;;;;;;;;;;;;;;;;
E-100209;Os cinco pontos do calvinismo;"Herman Hanko; Homer Hoeksema; Gise J. Van Baren";;;2013;Monergismo;;;9,78856E+12;1;;TSS-H241;;;;;;;;;;;;;;;;;;;;
E-100210;Eu sou mesmo cristão?;Mike McKinley;;;2013;Fiel;;;9,78858E+12;1;;AB-M478;;;;;;;;;;;;;;;;;;;;
E-100211;Faça alguma coisa: uma abordagem libertadora sobre a vontade de Deus em sua vida;Kevin DeYoung;;;2012;Mundo Cristão;;;9,78857E+12;1;;VCE-D529;;;;;;;;;;;;;;;;;;;;
E-100212;Cativo à Palavra: a vida de Martinho Lutero;Roland H. Bainton;;;2017;Vida Nova;;;9,78853E+12;1;;B-B162;;;;;;;;;;;;;;;;;;;;
E-100213;Depressão e graça: o cuidado de Deus diante do sofrimento de seus servos;Wilson Porte Jr.;;;2016;Fiel;;;9,78858E+12;1;;AB-P843;;;;;;;;;;;;;;;;;;;;
E-100214;Um chamado à reforma espiritual;D.A. Carson;;;2007;Cultura Cristã;;;8576221217;1;Oração;VCE-C321;;;;;;;;;;;;;;;;;;;;
E-100215;O aconselhamento bíblico depois de Jay Adams;Heath Lambert ;;;2018;Cultura Cristã;;;9,78858E+12;;;AB-L222;;;;;;;;;;;;;;;;;;;;
E-100216;Evangelo explícito;"Matt Chandler; Jared Wilson";;;2013;Fiel;;;9,78858E+12;1;;Ho-C455;;;;;;;;;;;;;;;;;;;;
E-100217;Teologia dos Reformadores;Timothy George;;;1993;Vida Nova;;;9,78853E+12;1;;HI-G347;;;;;;;;;;;;;;;;;;;;
E-100218;Palavras: o poder da comunicação na pregação do evangelho;"John Piper; Justin Taylor (org)";;;2012;Hagnos;;;9,78856E+12;1;"Comunicação; vida cristã; ";VCE-P154;;;;;;;;;;;;;;;;;;;;
E-100219;John Piper: ensaios em sua homenagem;"Sam Storms; Justin Taylor (org.)";;;2013;Hagnos;;;9,78858E+12;1;"Vida cristã; ética cristã; hedonismo; sofrimento; soberania de Deus; ";B-J65;;;;;;;;;;;;;;;;;;;;
E-100220;O Evangelho para a vida real: voltando-se para o poder libertador da cruz dia após dia;Jerry Bridges;;;2015;Fiel;;;9,78858E+12;;;VCE-B852;;;;;;;;;;;;;;;;;;;;
E-100221;Principles of Biblical interpretation;Louis Berkhof;;;1994;Baker Book House;;;801064775;;;TBH-B512;;;;;;;;;;;;;;;;;;;;
E-100222;O Evangelho no trabalho: servindo Cristo em sua profissão com um novo propósito;"Sebastian Traeger; Greg Gilbert";;;2014;Fiel;;;9,78858E+12;1;;VCE-T764;;;;;;;;;;;;;;;;;;;;
E-100223;Real Marriage: the truth about sex, friendship and life together;"Mark Driscoll; Grace Driscoll";;;2012;Thomas Nelson;;;9,7814E+12;;;VCF-D781;;;;;;;;;;;;;;;;;;;;
E-100224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E-100225;A walk through the Bible;Lesslie Newbigin;;;1999;Westminster John Knox Press;;;6642222293;1;;TB-N534;;;;;;;;;;;;;;;;;;;;
E-100226;Recomendações aos jovens teólogos e pastores;Helmut Thielicke;;;2014;Vida Nova;;;9,78853E+12;1;;AB-T431;;;;;;;;;;;;;;;;;;;;
E-100227;A verdadeira obra do Espírito: sinais de autenticidade;Jonathan Edwards;;2. ed.;2010;Vida Nova;;;9,78853E+12;1;;VCE-E26;;;;;;;;;;;;;;;;;;;;
E-100228;Medita estas coisas: conselhos para uma conversão segura;Richard Baxter;;2.ed;2008;Knox Publicações;;;9,78856E+12;1;"discipulado básico; conversão; vida cristã";DiB-B355;;;;;;;;;;;;;;;;;;;;
E-100229;Pensar, amar e fazer;John Piper;;;2013;Cultura Cristã;;;9,78858E+12;1;"cristianismo integral; vida cristã";VCE-P665;;;;;;;;;;;;;;;;;;;;
E-100230;Crer é também pensar;John Stott;;;2012;ABU Editora;;;9,78858E+12;1;"fé e razão; vida cristã";VCE-S888;;;;;;;;;;;;;;;;;;;;
E-100231;Eu sou chamado?: a vocação para o ministério pastoral;Dave Harvey;;;2013;Fiel;;;9,78858E+12;1;;L-H341;;;;;;;;;;;;;;;;;;;;
E-100232;Firmes na fé: conselhos para crentes fracos;Richard Baxter;;;2009;Knox;;;9,78856E+12;1;;AB-B355;;;;;;;;;;;;;;;;;;;;
E-100233;Gênesis no espaço-tempo;Francis A. Schaeffer;;;2014;Monergismo;;;9,78856E+12;1;;A-S294;;;;;;;;;;;;;;;;;;;;
E-100234;Coronavírus e Cristo;John Piper;;;2020;Fiel;;;9,78656E+12;1;;VC-P665;;;;;;;;;;;;;;;;;;;;
E-100235;Quebrantamento: espírito de humilhação;Richard Baxter;;3. ed.;2008;Knox;;;9,78856E+12;1;;AB-B355;;;;;;;;;;;;;;;;;;;;
E-100236;Todo mundo pensa, você também: aprendendo a pensar biblicamente;Wadislau Martins Gomes;;;2013;Monergismo;;;9,78856E+12;1;;VCE-G633;;;;;;;;;;;;;;;;;;;;
E-100237;Tomando decisões segunda a vontade de Deus;Herber Carlos de Campos Jr.;;;2013;Fiel;;;9,78858E+12;1;;VCE-C198;;;;;;;;;;;;;;;;;;;;
E-100238;Deus, revelação e autoridade: o Deus que fala e age;Carl F.H. Henry;;;2016;Hagnos;;;9,78858E+12;1;;TS-H521;;;;;;;;;;;;;;;;;;;;
E-100239;O Deus presente: encontrando seu lugar no plano de Deus;D.A. Carson;;;2012;Fiel;;;9,78858E+12;1;;VC-C321;;;;;;;;;;;;;;;;;;;;
E-100240;Confissões: livros I-VIII;Agostinho;1;;2020;Petra;;;9,78858E+12;1;"Biografia; Santo Agostinho";B-A275;;;;;;;;;;;;;;;;;;;;
E-100241;Confissões: livros IX-XIII;Agostinho;2;;2020;Petra;;;9,78858E+12;1;"Biografia; Santo Agostinho";B-A275;;;;;;;;;;;;;;;;;;;;
E-100242;Raízes da cultura ocidental;Herman Dooyeweerd;;;2015;Cultura cristã;;;9,78858E+12;1;"Apologética; cormovisão cristã; história do cristianismo";A-D691;;;;;;;;;;;;;;;;;;;;
E-100243;Simplesmente crente: por uma vida cristã comum;Michael Scott Horton;;;2016;Fiel;;;9,87858E+12;1;Vida cristã;VCE-H823;;;;;;;;;;;;;;;;;;;;
E-100244;Irmãos: cúmplices e rivais em aliança;Elizabeth Stowell Charles Gomes;;;2008;Cultura cristã;;;9,78858E+12;1;"Vida cristã; família; ";VCF-G633;;;;;;;;;;;;;;;;;;;;
E-100245;Revitalização e crescimento: uma nova vida para você e sua igreja;Gildásio J. B. dos Reis;;;2012;;;;9,78859E+12;1;Igreja;MEI-R375;;;;;;;;;;;;;;;;;;;;
E-100246;As dimensões da espiritualidade reformada: Martyn Lloyd-Jones e o resgate da tradição calvinista de vida cristã;Antônio Carlos Costa;;;2005;"Pontal do Atalaia; Textus";;;;1;"Vida cristã; espiritualidade; biografia";B-C837;;;;;;;;;;;;;;;;;;;;
E-100247;A gide to expository ministry;Dan Dumas (ed.);3;;2012;SBTS Press;;;9,78062E+12;1;"Pregação expositiva; homilética";Ho-G453;;;;;;;;;;;;;;;;;;;;
